,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4701,Caleb Swanigan,2018-19,21,TOT,NBA,-0.2,21,0,178,18,53,17,46,1,7,6,9,17,47,64,11,6,1,18,28,43,0.34,0.37,0.143,0.349,0.667,0.377
4702,Jeffery Taylor,2013-14,24,CHA,NBA,-0.2,26,8,629,82,218,64,151,18,67,26,47,15,45,60,22,13,5,25,62,208,0.376,0.424,0.269,0.417,0.553,0.436
4703,Malcolm Thomas,2013-14,25,TOT,NBA,-0.2,8,0,63,7,16,6,12,1,4,0,2,5,16,21,2,0,3,9,5,15,0.438,0.5,0.25,0.469,0,0.444
4704,Tyrus Thomas,2012-13,26,CHA,NBA,-0.2,26,2,360,48,136,45,128,3,8,26,31,16,44,60,19,14,15,17,51,125,0.353,0.352,0.375,0.364,0.839,0.418
4705,Mychel Thompson,2011-12,23,CLE,NBA,-0.2,5,3,95,7,24,3,13,4,11,0,0,0,5,5,7,2,1,5,8,18,0.292,0.231,0.364,0.375,,0.375
4706,Gary Trent,2018-19,20,POR,NBA,-0.2,15,1,111,16,50,11,29,5,21,3,7,1,10,11,5,1,2,4,4,40,0.32,0.379,0.238,0.37,0.429,0.377
4707,Jeremy Tyler,2011-12,20,GSW,NBA,-0.2,42,23,568,88,209,88,208,0,1,29,52,54,86,140,16,16,20,36,84,205,0.421,0.423,0,0.421,0.558,0.442
4708,Tyler Ulis,2017-18,22,PHO,NBA,-0.2,71,43,1658,214,551,172,405,42,146,84,101,24,104,128,311,70,7,127,120,554,0.388,0.425,0.288,0.426,0.832,0.465
4709,Luke Walton,2010-11,30,LAL,NBA,-0.2,54,0,484,38,116,30,82,8,34,7,10,9,58,67,62,9,4,31,38,91,0.328,0.366,0.235,0.362,0.7,0.378
